cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_CustomerType,cus_Age,IndustryType,CustomerProfile,CustomerSegment,MarketType,MarketNoofYearsinBusiness,app_CustProductCatTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,app_CustBrandTypeId,app_CustBankClosBal,Label
M,2750,2,2755,15,596,25,1783,2693,2695,2729,5,912,48,47,823000,164600,658400,7,18137.51,852463.36,120000,56500,63500,0,742,18137.51,Pay
F,2750,3,2755,20,596,40,1783,2693,2695,2729,12,529,36,35,228690,28690,200000,12,7922.28,277280.07,56160,14330,41830,0,746,7922.28,Pay
M,2750,3,2755,50,596,45,604,2693,2695,2729,6,529,36,34,228690,28690,200000,11.2,8123.27,276191.28,45000,8110,36890,0,746,8123.27,Pay
M,2750,4,2755,44,596,31,1783,2693,2695,2729,9,531,42,40,592000,62000,530000,7.6,16794.12,671764.92,75000,12575,62425,0,564,16794.12,Pay
M,2750,3,2755,35,596,41,604,2693,2695,2729,7,529,36,34,228690,43690,185000,11.2,7442.14,253033.05,84000,8110,75890,0,746,7442.14,Pay
M,2750,2,2755,20,596,27,1783,2693,2695,2729,6,531,36,35,619766,31766,588000,6.62,20167.07,705847.65,97500,45366,52134,0,564,20167.07,Pay
M,2750,6,2755,25,596,35,1783,2693,2695,2729,7,531,48,47,619766,24766,595000,7.1,16517.13,776305.11,67500,26700,40800,0,564,16517.13,Pay
M,2750,3,2755,15,596,26,1783,2693,2695,2729,8,531,48,47,592000,30000,562000,6,14848.94,697900.22,84000,41800,42200,0,564,14848.94,Pay
M,2750,5,2755,15,596,21,1783,2693,2695,2729,3,531,48,47,693162,43162,650000,7.2,17965.29,844369,72000,29700,42300,0,746,17965.29,Pay
M,2750,4,2755,20,596,25,1783,2693,2695,2729,10,530,48,47,1167855,367855,800000,7,22042.9,1036016.62,250000,100000,150000,0,564,22042.9,Pay
M,2750,5,2755,34,596,43,1783,2693,2695,2729,6,531,42,40,431690,81690,350000,8.85,11480.61,459224.54,60000,13075,46925,0,746,11480.61,Pay
M,2750,2,2755,25,596,25,603,2693,2695,2729,5,531,48,47,619766,31766,588000,7,16199.97,761399.04,88000,44250,43750,0,564,16199.97,Pay
M,2750,3,2755,39,596,39,1783,2693,2695,2729,15,531,48,47,629766,54766,575000,7.3,15829.36,743980.29,89600,39000,50600,0,564,15829.36,Pay
M,2750,2,2755,25,596,30,1783,2693,2695,2729,2,531,36,35,629766,169766,460000,7.2,16003.25,560113.92,60000,10908,49092,0,564,16003.25,Pay
F,2750,3,2755,20,596,48,1783,2693,2695,2729,15,531,48,47,520000,26000,494000,7,13475.51,633349.12,72000,36107,35893,0,564,13475.51,Pay
M,2750,2,2755,23,596,23,1783,2693,2695,2729,4,531,48,47,629766,163766,466000,7,12707.94,597273.6,89600,42500,47100,0,564,12707.94,Pay
M,2750,2,2755,25,596,38,1783,2693,2695,2730,8,531,48,47,629766,39766,590000,7.8,16487.09,774893.44,60000,9975,50025,0,564,16487.09,Pay
M,2750,4,2755,15,596,32,1783,2693,2695,2729,8,531,48,47,600000,30000,570000,7.1,15594.67,732949.49,180000,52550,127450,0,564,15594.67,Pay
M,2750,2,2755,23,596,23,1783,2693,2695,2729,4,531,48,47,629766,146766,483000,7,13175.82,619263.88,95200,41700,53500,0,564,13175.82,Pay
F,2750,2,2755,15,596,35,1783,2693,2695,2729,6,531,48,47,629766,49766,580000,7,15818.51,743470.08,95200,40700,54500,0,564,15818.51,Pay
M,2750,4,2755,22,596,25,1783,2693,2695,2729,5,531,48,47,629766,31766,598000,7,16302.84,766233.6,60000,9484,50516,0,564,16302.84,Pay
M,2750,4,2755,20,596,23,1783,2693,2695,2729,5,529,36,35,224190,24190,200000,12,7909.66,276838.37,62400,16433,45967,0,746,7909.66,Pay
M,2750,3,2755,25,596,33,1783,2693,2695,2729,8,531,30,29,431690,161690,270000,8.45,11303.05,327788.47,60000,10275,49725,0,746,11303.05,Pay
M,2750,3,2755,26,596,31,1783,2693,2695,2729,8,531,47,46,600000,30000,570000,7,15999.29,735967.58,95200,36700,58500,0,564,15999.29,Pay
F,2750,5,2755,30,596,36,1783,2693,2695,2729,6,531,34,33,436108,66108,370000,8.66,13986.59,461557.79,54000,22025,31975,0,746,13986.59,Pay
M,2750,7,2755,25,596,39,1783,2693,2695,2729,10,531,42,41,677021,34021,643000,7.5,19818.78,812570.25,85500,28250,57250,0,746,19818.78,Pay
M,2750,7,2755,25,596,48,604,2693,2695,2729,6,529,36,34,235000,40000,195000,12,8145.32,276940.88,45000,7682,37318,0,746,8145.32,Pay
M,2750,2,2755,25,596,47,1783,2693,2695,2729,12,531,48,47,600000,40000,560000,7,15330.66,720541.08,95200,43300,51900,0,564,15330.66,Pay
M,2750,1,2755,23,596,36,1783,2693,2695,2729,25,529,36,35,235000,40000,195000,13,7921.34,277247.12,60000,16366,43634,0,746,7921.34,Pay
M,2750,6,2755,15,596,22,1783,2693,2695,2729,4,531,36,35,600000,120000,480000,7.4,16780.5,587317.64,67500,22750,44750,0,564,16780.5,Pay
M,2750,3,2755,25,596,28,1783,2693,2695,2729,8,531,48,47,600000,92000,508000,7,13851.77,651033.6,119000,50500,68500,0,564,13851.77,Pay
M,2750,6,2755,25,596,34,1783,2693,2695,2729,5,529,30,29,229500,29500,200000,11.2,8960.88,259865.59,31500,10620,20880,0,746,8960.88,Pay
M,2750,4,2755,25,596,43,604,2693,2695,2729,7,529,36,34,229500,39500,190000,12.5,7899.69,268589.75,45000,11908,33092,0,746,7899.69,Pay
M,2750,4,2755,15,596,22,1783,2693,2695,2729,2,531,48,47,679903,34903,645000,7.2,17692.73,831558.56,76500,30875,45625,0,746,17692.73,Pay
M,2750,4,2755,25,596,46,1783,2693,2695,2729,7,529,,,,,,,,,,,,,747,,Pay
M,2750,6,2755,15,596,31,1783,2693,2695,2729,6,531,48,47,696103,36103,660000,7.4,18216.24,856163.52,82500,30433,52067,0,747,18216.24,Pay
M,2750,6,2755,15,596,41,604,2693,2695,2729,6,529,24,23,235000,40000,195000,12.8,10821.96,248905.28,40500,14940,25560,0,747,10821.96,Pay
M,2750,2,2755,10,596,28,1783,2693,2695,2729,6,529,36,35,229500,29500,200000,13,8090.17,283156.26,48000,13833,34167,0,747,8090.17,Pay
M,2750,3,2755,30,596,32,1783,2693,2695,2729,8,531,48,47,600000,15000,585000,7.2,16048.48,754278.56,200000,55166,144834,0,746,16048.48,Pay
M,2750,2,2755,30,596,41,1783,2693,2695,2729,16,529,36,35,235000,35000,200000,13,8129.59,284535.78,45600,12366,33234,0,746,8129.59,Pay
M,2750,3,2755,42,596,54,1783,2693,2695,2729,12,529,36,35,229500,29500,200000,13,8374.31,293100.95,45600,13720,31880,0,746,8374.31,Pay
M,2750,6,2755,16,596,34,1783,2693,2695,2729,6,529,36,35,229500,29500,200000,13.5,8198.88,286961.07,34200,14236,19964,0,564,8198.88,Pay
M,2751,3,2755,15,596,,1783,2693,2695,2729,,531,36,34,256973,56973,200000,10,7670.76,260806,45000,20833,24167,4,746,7670.76,Pay
M,2750,3,2755,12,596,35,603,2693,2695,2729,6,531,36,35,480000,80000,400000,9.8,14811.49,518402.28,56250,23541,32709,1,746,14811.49,Pay
